year,id,inv_w1,inviapply_w1,dige_w1,lerner_w1,bsize_w1,post_w1,bodi_w1,age_w1,fixpro_w1,exp_w1,flows_w1,subsidies_w1,profit_w1,industrycode,hyid,yb
2016,6,0,0,2.961061,0.545346,2.19722,0,0.333333,3.3322,0.059484,0.062553,0.046891,0.113352,7.68475,C30,12,51
2017,6,0,0,3.468784,0.380107,2.07944,0,0.375,3.3322,0.070805,0.060465,0.127575,1.00009,8.34862,C30,12,51
2013,7,3.85015,2.30259,1.371859,0.442594,2.07944,0,0.375,2.99573,0.194332,0.089279,-0.010535,0.303329,11.0382,C41,23,13
2014,7,4.44265,2.30259,1.347961,0.493464,2.07944,0,0.375,3.04452,0.18929,0.099411,0.049492,0.799621,11.1598,C36,18,13
2015,7,4.04305,1.79176,1.491429,0.30055,2.19722,0,0.333333,3.09104,0.219005,0.114784,0.041266,0.226876,10.8896,C36,18,13
2016,7,3.29584,1.09861,1.609526,0.473027,2.19722,0,0.333333,3.13549,0.190878,0.097512,0.066216,1.05195,11.1645,C36,18,13
2017,7,4.12713,1.94591,1.675772,0.579142,2.19722,0,0.333333,3.17805,0.17111,0.087905,0.044662,0.513662,11.3845,C36,18,13
2007,8,5.4161,4.94876,0.2011766,0.452477,2.07944,0,0.375,2.70805,0.157,0.032774,-0.026875,0.041065,12.7658,C33,15,51
2008,8,5.4161,4.48864,0.2487143,0.5731,2.07944,0,0.375,2.77259,0.207009,0.035106,0.097417,0.401101,12.1689,C33,15,51
2009,8,5.35186,4.2485,1.774175,0.180694,2.07944,0,0.375,2.83321,0.205979,0.096509,0.025956,0.381663,11.895,C33,15,51
